Name;Municipality;Owner/owner of the spv;Spv;Operator, contact details;Cabel information,contact details;"Nominal power (kW)";Installation year;Wind turbine Manufacturer;Wind turbine tip height (m);Wind turbine hub height (m);Wind turbine rotor diameter (m);Region;"Installed (1)/Not in use(0)";Demolish year
Joukhaisselkä 9;Sodankylä;Allianz Capital Partners;Joukhaisselän tuulipuisto Oy; ;;3000;2015;Nordex Acciona;178.13;120;117;Lappi;1;
Jouttikallio 1;Lapua;Allianz Capital Partners;Jouttikallio Wind Oy;;;3450;2016;Vestas;210;147;126;Etelä-Pohjanmaa;1;
Jouttikallio 2;Lapua;Allianz Capital Partners;Jouttikallio Wind Oy;;;3450;2016;Vestas;210;147;126;Etelä-Pohjanmaa;1;
Jouttikallio 3;Lapua;Allianz Capital Partners;Jouttikallio Wind Oy;;;3450;2016;Vestas;210;147;126;Etelä-Pohjanmaa;1;
Jouttikallio 5;Lapua;Allianz Capital Partners;Jouttikallio Wind Oy;;;3450;2016;Vestas;210;147;126;Etelä-Pohjanmaa;1;
Jouttikallio 8;Lapua;Allianz Capital Partners;Jouttikallio Wind Oy;;;3450;2016;Vestas;210;147;126;Etelä-Pohjanmaa;1;
Jouttikallio 9;Lapua;Allianz Capital Partners;Jouttikallio Wind Oy;;;3450;2016;Vestas;210;147;126;Etelä-Pohjanmaa;1;
Jylisevä;Kurikka;Kauppilan autohajottamo Oy;;;;750;2009;Südwind ;;;;Etelä-Pohjanmaa;1;
Jäneskeidas 1;Siikainen;Gigawatti Oy;;S-Voima Oy - pekka.j.pyyny@sok.fi;S-Voima Oy - pekka.j.pyyny@sok.fi;3300;2014;Vestas;;137;126;Satakunta;1;
Jäneskeidas 2;Siikainen;Gigawatti Oy;;S-Voima Oy - pekka.j.pyyny@sok.fi;S-Voima Oy - pekka.j.pyyny@sok.fi;3300;2014;Vestas;;137;126;Satakunta;1;
Jäneskeidas 3;Siikainen;Gigawatti Oy;;S-Voima Oy - pekka.j.pyyny@sok.fi;S-Voima Oy - pekka.j.pyyny@sok.fi;3300;2014;Vestas;;137;126;Satakunta;1;
Jäneskeidas 4;Siikainen;Gigawatti Oy;;S-Voima Oy - pekka.j.pyyny@sok.fi;S-Voima Oy - pekka.j.pyyny@sok.fi;3300;2014;Vestas;;137;126;Satakunta;1;
Jäneskeidas 5;Siikainen;Gigawatti Oy;;S-Voima Oy - pekka.j.pyyny@sok.fi;S-Voima Oy - pekka.j.pyyny@sok.fi;3300;2015;Vestas;;137;126;Satakunta;1;
Jäneskeidas 6;Siikainen;Gigawatti Oy;;S-Voima Oy - pekka.j.pyyny@sok.fi;S-Voima Oy - pekka.j.pyyny@sok.fi;3300;2015;Vestas;;137;126;Satakunta;1;
Jäneskeidas 7;Siikainen;Gigawatti Oy;;S-Voima Oy - pekka.j.pyyny@sok.fi;S-Voima Oy - pekka.j.pyyny@sok.fi;3300;2015;Vestas;;137;126;Satakunta;1;
Jäneskeidas 8;Siikainen;Gigawatti Oy;;S-Voima Oy - pekka.j.pyyny@sok.fi;S-Voima Oy - pekka.j.pyyny@sok.fi;3300;2015;Vestas;;137;126;Satakunta;1;
Kankaanpäänmäki 1;Seinäjoki;SPC 1-Kankaanpäänmäki Oy;;;;2500;2015;Enercon;;135;100;Etelä-Pohjanmaa;1;
Kankaanpäänmäki 2;Seinäjoki;SPC 1-Kankaanpäänmäki Oy;;;;2500;2015;Enercon;;135;100;Etelä-Pohjanmaa;1;
Kankaanpäänmäki 3;Seinäjoki;SPC 1-Kankaanpäänmäki Oy;;;;2500;2015;Enercon;;135;100;Etelä-Pohjanmaa;1;
Kalax 1;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 2;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 3;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 4;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 5;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 6;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 7;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 8;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 9;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 10;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 11;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 12;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 13;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 14;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 15;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 16;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 17;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 18;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 19;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 20;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kalax 21;Närpiö;Fortum Heat & Power;Vindin Kalax Ab/Oy;Fortum Heat  Power, Hans Vadbäck;Fortum Heat  Power, Hans Vadbäck;4300;2020;Vestas;230;155;150;Pohjanmaa;1;
Kantti 1;Karvia;Taaleri Energia;Kantin Tuulipuisto Ky, Taaleri Pääomarahastot Oy;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Kantti 2;Karvia;Taaleri Energia;Kantin Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Kantti 3;Karvia;Taaleri Energia;Kantin Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Kantti 4;Karvia;Taaleri Energia;Kantin Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Kantti 5;Karvia;Taaleri Energia;Kantin Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Kantti 6;Karvia;Taaleri Energia;Kantin Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Kantti 7;Karvia;Taaleri Energia;Kantin Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Kantti 8;Karvia;Taaleri Energia;Kantin Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Karhusaari 4;Kristiinankaupunki;Huikku Tuulivoima Oy;;;;3450;2017;Vestas;;87;126;Pohjanmaa;1;
Kasberget;Sottunga;Ålands Vindenergi Andelslag;;;;660;2005;Vestas;;55;47;Ahvenanmaa;1;
Kiikerinkylä 1;Ilmajoki;HautalaPower Oy;;;;200;2013;Enercon;;;;Etelä-Pohjanmaa;1;
Kirkkokallio 1;Honkajoki;Goodyields Capital GmbH/Access Capital Partners;Honkajoen Tuulipuisto Ky;;;2400;2013;Nordex Acciona;;120;117;Satakunta;1;
Kirkkokallio 2;Honkajoki;Goodyields Capital GmbH/Access Capital Partners;Honkajoen Tuulipuisto Ky;;;2400;2013;Nordex Acciona;;120;117;Satakunta;1;
Kirkkokallio 3;Honkajoki;Goodyields Capital GmbH/Access Capital Partners;Honkajoen Tuulipuisto Ky;;;2400;2013;Nordex Acciona;;120;117;Satakunta;1;
Kirkkokallio 4;Honkajoki;Goodyields Capital GmbH/Access Capital Partners;Honkajoen Tuulipuisto Ky;;;2400;2013;Nordex Acciona;;120;117;Satakunta;1;
Kirkkokallio 5;Honkajoki;Goodyields Capital GmbH/Access Capital Partners;Honkajoen Tuulipuisto Ky;;;2400;2013;Nordex Acciona;;120;117;Satakunta;1;
Kirkkokallio 6;Honkajoki;Goodyields Capital GmbH/Access Capital Partners;Honkajoen Tuulipuisto Ky;;;2400;2013;Nordex Acciona;;120;117;Satakunta;1;
Kirkkokallio 7;Honkajoki;Goodyields Capital GmbH/Access Capital Partners;Honkajoen Tuulipuisto Ky;;;2400;2013;Nordex Acciona;;120;117;Satakunta;1;
Kirkkokallio 8;Honkajoki;Goodyields Capital GmbH/Access Capital Partners;Honkajoen Tuulipuisto Ky;;;2400;2013;Nordex Acciona;;120;117;Satakunta;1;
Kirkkokallio 9;Honkajoki;Goodyields Capital GmbH/Access Capital Partners;Honkajoen Tuulipuisto Ky;;;2400;2013;Nordex Acciona;;120;117;Satakunta;1;
Kirrinsanta 1;Pori;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3300;2015;Vestas;;119;112;Satakunta;1;
Kirrinsanta 2;Pori;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3300;2015;Vestas;;119;112;Satakunta;1;
Kitkiäisvaara 1;Tornio;Exilion Tuuli Ky;;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;4500;2014;Siemens Gamesa;;145;140;Lappi;1;
Kitkiäisvaara 2;Tornio;Exilion Tuuli Ky;;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;4500;2014;Siemens Gamesa;;145;140;Lappi;1;
Kitkiäisvaara 3;Tornio;Exilion Tuuli Ky;;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;4500;2014;Siemens Gamesa;;145;140;Lappi;1;
Kitkiäisvaara 4;Tornio;Exilion Tuuli Ky;;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;4500;2014;Siemens Gamesa;;145;140;Lappi;1;
Kitkiäisvaara 5;Tornio;Exilion Tuuli Ky;;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;4500;2014;Siemens Gamesa;;145;140;Lappi;1;
Kitkiäisvaara 6;Tornio;Exilion Tuuli Ky;;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;4500;2014;Siemens Gamesa;;145;140;Lappi;1;
Kitkiäisvaara 7;Tornio;Exilion Tuuli Ky;;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;4500;2014;Siemens Gamesa;;145;140;Lappi;1;
Kitkiäisvaara 8;Tornio;Exilion Tuuli Ky;;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;Operointi St1 Oy, Yrjö Laine, yrjo.laine@st1.fi;4500;2014;Siemens Gamesa;;145;140;Lappi;1;
Kivivaara-Peuravaara 1;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2016;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 10;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 11;Suomussalmi;Loiste Energia Oy/Taaleri Energia ;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 12;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 13;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 14;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 15;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 16;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 17;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 18;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 19;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 2;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2016;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 20;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 21;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 22;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 23;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 24;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 25;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 26;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 27;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 28;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 29;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 3;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2016;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 30;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 4;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2016;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 5;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2016;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 6;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2016;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 7;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2016;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 8;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2016;Nordex Acciona;;144;131;Kainuu;1;
Kivivaara-Peuravaara 9;Suomussalmi;Loiste Energia Oy/Taaleri Energia;Kivivaara-Peuravaaran Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;;3000;2017;Nordex Acciona;;144;131;Kainuu;1;
Knutsboda 1;Lemland;Ålands Vindenergi Andelslag;;;;600;1997;Vestas;;45;44;Ahvenanmaa;1;
Knutsboda 2;Lemland;Ålands Skogsägarförbund;;;;600;1997;Vestas;;45;44;Ahvenanmaa;1;
Knutsboda 3;Lemland;Ålands Vindkraft Ab;;;;600;1997;Vestas;;45;44;Ahvenanmaa;1;
Knutsboda 4;Lemland;Ålands Vindenergi Andelslag;;;;600;1997;Vestas;;50;44;Ahvenanmaa;1;
Koirakari;Hamina;Haminan Energia Oy;;;;3000;2015;Enercon;;135;101;Kymenlaakso;1;
Kokkola T1;Kokkola;Innopower Oy;;;;1000;2003;WinWinD;;;;Keski-Pohjanmaa;0;2016
Kokkola T2;Kokkola;Innopower Oy;;;;1000;2003;WinWinD;;;;Keski-Pohjanmaa;0;2016
Kokkoneva 1;Siikalatva;Greencoat;"Kestilän Kokkonevan Tuulivoima Oy";Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4800;2022;Nordex Acciona;232,5;158;149;Pohjois-Pohjanmaa;1;
Kokkoneva 2;Siikalatva;Greencoat;"Kestilän Kokkonevan Tuulivoima Oy";Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4800;2022;Nordex Acciona;232,5;158;149;Pohjois-Pohjanmaa;1;
Kokkoneva 3;Siikalatva;Greencoat;"Kestilän Kokkonevan Tuulivoima Oy";Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4800;2022;Nordex Acciona;232,5;158;149;Pohjois-Pohjanmaa;1;
Kokkoneva 4;Siikalatva;Greencoat;"Kestilän Kokkonevan Tuulivoima Oy";Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4800;2022;Nordex Acciona;232,5;158;149;Pohjois-Pohjanmaa;1;
Kokkoneva 5;Siikalatva;Greencoat;"Kestilän Kokkonevan Tuulivoima Oy";Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4800;2022;Nordex Acciona;232,5;158;149;Pohjois-Pohjanmaa;1;
Kokkoneva 6;Siikalatva;Greencoat;"Kestilän Kokkonevan Tuulivoima Oy";Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4800;2022;Nordex Acciona;232,5;158;149;Pohjois-Pohjanmaa;1;
Kokkoneva 7;Siikalatva;Greencoat;"Kestilän Kokkonevan Tuulivoima Oy";Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4800;2022;Nordex Acciona;232,5;158;149;Pohjois-Pohjanmaa;1;
Kokkoneva 8;Siikalatva;Greencoat;"Kestilän Kokkonevan Tuulivoima Oy";Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4800;2022;Nordex Acciona;232,5;158;149;Pohjois-Pohjanmaa;1;
Kokkoneva 9;Siikalatva;Greencoat;"Kestilän Kokkonevan Tuulivoima Oy";Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4800;2022;Nordex Acciona;232,5;158;149;Pohjois-Pohjanmaa;1;
Konttisuo 1;Soini;Energiequelle ;;;;4280;2022;Nordex Acciona;;145;149;Etelä-Pohjanmaa;1;
Konttisuo 2;Soini;Energiequelle ;;;;4280;2022;Nordex Acciona;;145;149;Etelä-Pohjanmaa;1;
Konttisuo 3;Soini;Energiequelle ;;;;4280;2022;Nordex Acciona;;145;149;Etelä-Pohjanmaa;1;
Konttisuo 4;Soini;Energiequelle ;;;;4280;2022;Nordex Acciona;;145;149;Etelä-Pohjanmaa;1;
Konttisuo 5;Soini;Energiequelle ;;;;4280;2022;Nordex Acciona;;145;149;Etelä-Pohjanmaa;1;
Konttisuo 6;Soini;Energiequelle ;;;;4280;2022;Nordex Acciona;;145;149;Etelä-Pohjanmaa;1;
Konttisuo 7;Soini;Energiequelle ;;;;4280;2022;Nordex Acciona;;145;149;Etelä-Pohjanmaa;1;
Kooninkallio 1;Kankaanpää;Taaleri Energia;Kooninkallion Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Kooninkallio 2;Kankaanpää;Taaleri Energia;Kooninkallion Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Kooninkallio 3;Kankaanpää;Taaleri Energia;Kooninkallion Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
Kooninkallio 4;Kankaanpää;Taaleri Energia;Kooninkallion Tuulipuisto Ky;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;Taaleri, Miika Sinettä, miika.sinetta@taaleri.com;3000;2016;Nordex Acciona;;144;131;Satakunta;1;
